Tanggal,Demand,Is_Peak_Season,Is_Event,Waktu_Produksi,Biaya_Lembur,Lead_Time,Ongkir_Bahan_Baku,Max_Lembur_Bulan,Max_TK_Tambahan,Kategori_Musim,Prod_Pouch,Prod_Sajadah,Prod_Sarung Bantal,Prod_Selimut,Prod_Taplak Meja,Prod_Totebag
2022-01-01,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-02,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-03,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-04,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-05,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-06,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-07,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-08,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-09,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-10,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-11,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-12,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-13,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-14,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-15,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-16,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-17,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-18,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-19,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-20,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-21,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-22,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-23,16,0,1,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-24,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-25,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-26,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-27,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-28,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-29,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-30,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-01-31,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-01,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-02,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-03,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-04,9,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
